N,r
271.0,0.25261596668525016
821.0,0.2903615653253507
778.0,0.2723830432490379
286.0,0.26496019271555965
636.0,0.2913687613793695
71.0,0.29143850061623394
679.0,0.2740257195739635
650.0,0.2845937501924881
710.0,0.3159540932779355
262.0,0.21689055224488343
877.0,0.30653879345525653
184.0,0.171370859513068
317.0,0.31437848946663544
290.0,0.315662748611885
118.0,0.2652227297622713
694.0,0.3067100249836658
389.0,0.29934436193103114
648.0,0.24936872131386678
373.0,0.3689074936594838
833.0,0.28379106544722055
487.0,0.30912815621811257
68.0,0.18435296897397818
254.0,0.2552311824227235
175.0,0.16779193546585236
700.0,0.2795685465529881
928.0,0.33282824630975627
782.0,0.3268213641792232
375.0,0.28109721040935604
75.0,0.17947796241845504
90.0,0.14732741915937667
685.0,0.3431006196572128
628.0,0.32465230574254333
926.0,0.2648646563041252
992.0,0.29909206523425363
866.0,0.22659450943791284
783.0,0.3276146884010721
302.0,0.3025987979761953
498.0,0.299127751804667
874.0,0.2937385560786607
444.0,0.23498896346690934
99.0,0.4035025002876058
743.0,0.26659409435218234
414.0,0.18962362901263152
461.0,0.279825410263008
518.0,0.29192171492055047
556.0,0.36599262592702
823.0,0.3264996971398966
623.0,0.3073577012531294
262.0,0.3353894330818666
756.0,0.3380351462745644
532.0,0.35260208759904244
169.0,0.1674551177332634
374.0,0.2675301678680104
140.0,0.22045300776071597
248.0,0.37933527792009736
707.0,0.25737715481926005
231.0,0.3747673124496119
719.0,0.33577231253435225
957.0,0.29939317487860484
942.0,0.31872581144211243
930.0,0.3432001847319902
624.0,0.31521950593653825
82.0,0.3248833862629366
571.0,0.3433246850119127
944.0,0.2951549844950611
928.0,0.2641780856425867
474.0,0.25272580334628175
299.0,0.3576621716406606
979.0,0.2819676668871054
329.0,0.2988879379391015
106.0,0.18531464710210183
32.0,0.624500812676911
61.0,0.33333301099053725
70.0,0.3336567370036219
728.0,0.3567547081014603
928.0,0.2646945025994784
876.0,0.3047567985019963
935.0,0.3159658023094602
281.0,0.3318837491828329
267.0,0.2853441363269569
624.0,0.25464226731738715
892.0,0.31743710410094556
148.0,0.257105022973539
583.0,0.28328934327240685
585.0,0.3770355013143395
386.0,0.3649611042487453
870.0,0.2945873838953899
831.0,0.22778020927473852
738.0,0.31732085395883064
520.0,0.2942904221457809
882.0,0.3121869896455276
241.0,0.3552298179729584
833.0,0.3540821731811317
788.0,0.35868641111370775
154.0,0.27985929150291683
32.0,0.3077644372230895
734.0,0.30460938534466236
739.0,0.2531567482561536
321.0,0.32659007200524615
