N,r,country
271.0,0.25261596668525016,Canada
821.0,0.2903615653253507,Canada
778.0,0.2723830432490379,Canada
286.0,0.26496019271555965,Canada
636.0,0.2913687613793695,Canada
71.0,0.29143850061623394,Canada
679.0,0.2740257195739635,Canada
650.0,0.2845937501924881,Canada
710.0,0.3159540932779355,Canada
262.0,0.21689055224488343,Canada
877.0,0.30653879345525653,Canada
184.0,0.171370859513068,Canada
317.0,0.31437848946663544,Canada
290.0,0.315662748611885,Canada
118.0,0.2652227297622713,Canada
694.0,0.3067100249836658,Canada
389.0,0.29934436193103114,Canada
648.0,0.24936872131386678,Canada
373.0,0.3689074936594838,Canada
833.0,0.28379106544722055,Canada
487.0,0.5078020139318382,United States
68.0,0.4026527681687171,United States
254.0,0.4633138994327558,United States
175.0,0.38785181686276377,United States
700.0,0.4830973015727615,United States
928.0,0.5269234138392676,United States
782.0,0.5220372847626376,United States
375.0,0.485529158406091,United States
75.0,0.3992083903833041,United States
90.0,0.3703309285901914,United States
685.0,0.5351895381990958,United States
628.0,0.5202365729794743,United States
926.0,0.47101569581282826,United States
992.0,0.49938560748895094,United States
866.0,0.43854143230138243,United States
783.0,0.522677299754495,United States
302.0,0.5026426010008983,United States
498.0,0.499281028763202,United States
874.0,0.49487683197562776,United States
444.0,0.4456650236435198,United States
