N,r,country,rxx,ryy
271.0,0.25261596668525016,Canada,0.64,0.88
821.0,0.2903615653253507,Canada,0.94,0.73
778.0,0.2723830432490379,Canada,0.59,0.61
286.0,0.26496019271555965,Canada,0.71,0.52
636.0,0.2913687613793695,Canada,0.55,0.52
71.0,0.29143850061623394,Canada,0.67,0.53
679.0,0.2740257195739635,Canada,0.95,0.6
650.0,0.2845937501924881,Canada,0.73,0.82
710.0,0.3159540932779355,Canada,0.87,0.76
262.0,0.21689055224488343,Canada,0.68,0.95
877.0,0.30653879345525653,Canada,0.52,0.6
184.0,0.171370859513068,Canada,0.98,0.93
317.0,0.31437848946663544,Canada,0.57,0.88
290.0,0.315662748611885,Canada,0.82,0.58
118.0,0.2652227297622713,Canada,0.58,0.98
694.0,0.3067100249836658,Canada,0.58,0.68
389.0,0.29934436193103114,Canada,0.67,0.76
648.0,0.24936872131386678,Canada,0.56,0.9
373.0,0.3689074936594838,Canada,0.88,0.8
833.0,0.28379106544722055,Canada,0.72,0.54
487.0,0.5078020139318382,United States,0.57,0.58
68.0,0.4026527681687171,United States,0.62,0.74
254.0,0.4633138994327558,United States,0.96,0.62
175.0,0.38785181686276377,United States,0.54,0.68
700.0,0.4830973015727615,United States,0.5,0.85
928.0,0.5269234138392676,United States,0.92,0.84
782.0,0.5220372847626376,United States,0.88,0.61
375.0,0.485529158406091,United States,0.93,0.69
75.0,0.3992083903833041,United States,0.91,0.84
90.0,0.3703309285901914,United States,0.88,0.9
685.0,0.5351895381990958,United States,0.77,0.62
628.0,0.5202365729794743,United States,0.89,0.84
926.0,0.47101569581282826,United States,0.98,0.81
992.0,0.49938560748895094,United States,0.77,0.73
866.0,0.43854143230138243,United States,0.81,0.62
783.0,0.522677299754495,United States,0.74,0.59
302.0,0.5026426010008983,United States,0.95,0.82
498.0,0.499281028763202,United States,0.83,0.85
874.0,0.49487683197562776,United States,0.92,0.72
444.0,0.4456650236435198,United States,0.75,0.61
